incident_id,date,timestamp,fake_location,location_label,severity,escalation_status,detection_confidence,classification_confidence,media_type,saved_accident_frame,webhook_status
INC-F7161AFE,2026-05-28,2026-05-28 03:37:36,"https://maps.google.com/?q=31.9539,35.9106","Amman, Jordan - Fake PoC Location",severe-accident,Escalated,0.895,0.923,image,C:\Capstone\incident_logs\frames\incident_INC-F7161AFE.jpg,disabled
INC-67420000,2026-05-28,2026-05-28 03:37:36,"https://maps.google.com/?q=31.9539,35.9106","Amman, Jordan - Fake PoC Location",moderate-accident,Not Escalated,0.782,0.612,video,C:\Capstone\incident_logs\frames\incident_INC-67420000.jpg,disabled
INC-2F755E3A,2026-05-28,2026-05-28 03:37:36,"https://maps.google.com/?q=31.9539,35.9106","Amman, Jordan - Fake PoC Location",no-accident,Not Escalated,0.55,0.88,image,C:\Capstone\incident_logs\frames\incident_INC-2F755E3A.jpg,"failed (HTTPSConnectionPool(host='invalid-domain-12345.com', port=443): Max retries exceeded with url: /webhook-test (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x000001F4FF177440>: Failed to resolve 'invalid-domain-12345.com' ([Errno 11001] getaddrinfo failed)"")))"
INC-8FB02068,2026-05-30,05:35:21,"https://maps.google.com/?q=31.9539,35.9106","Amman, Jordan - Fake PoC Location",severe-accident,Escalated,0.9016122817993164,0.8788410425186157,image,C:\Capstone\incident_logs\frames\incident_INC-8FB02068.jpg,failed (status 404)
INC-0356D229,2026-05-30,05:37:08,"https://maps.google.com/?q=31.9539,35.9106","Amman, Jordan - Fake PoC Location",severe-accident,Escalated,0.9016122817993164,0.8788410425186157,image,C:\Capstone\incident_logs\frames\incident_INC-0356D229.jpg,sent
INC-F47FD096,2026-05-30,06:02:47,"https://maps.google.com/?q=31.9539,35.9106","Amman, Jordan - Fake PoC Location",no-accident,Not Escalated,0.9093098640441895,0.8791204690933228,image,C:\Capstone\incident_logs\frames\incident_INC-F47FD096.jpg,failed (status 404)
INC-AB8560BF,2026-05-30,06:18:42,"https://maps.google.com/?q=31.9539,35.9106","Amman, Jordan - Fake PoC Location",severe-accident,Escalated,0.9016122817993164,0.8788410425186157,image,C:\Capstone\incident_logs\frames\incident_INC-AB8560BF.jpg,failed (status 404)
